"Read Details",Подробнее,module,Magento_AdminNotification
"Mark as Read","Пометить как прочитанное",module,Magento_AdminNotification
"Are you sure?","Вы уверены?",module,Magento_AdminNotification
Remove,Удалить,module,Magento_AdminNotification
"Messages Inbox","Входящие сообщения",module,Magento_AdminNotification
"You have %1 new system messages","У вас есть новые системные сообщения %1",module,Magento_AdminNotification
"You have %1 new system message","У вас есть %1 новое системное сообщение",module,Magento_AdminNotification
"Incoming Message","Входящее сообщение",module,Magento_AdminNotification
close,закрыть,module,Magento_AdminNotification
Notifications,Уведомления,module,Magento_AdminNotification
"The message has been marked as Read.","Сообщение было помечено как прочитанное.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Мы не можем пометить уведомление как прочитанное из-за ошибки.",module,Magento_AdminNotification
"Please select messages.","Пожалуйста, выберите сообщения.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 записи(ей) было помечено как прочитанные.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 запись(и) была(и) удалены.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Мы не cмогли удалить сообщения из-за ошибки.",module,Magento_AdminNotification
"The message has been removed.","Сообщение было удалено.",module,Magento_AdminNotification
"1 Hour","1 час",module,Magento_AdminNotification
"2 Hours","2 часа",module,Magento_AdminNotification
"6 Hours","6 часов",module,Magento_AdminNotification
"12 Hours","12 часов",module,Magento_AdminNotification
"24 Hours","24 часа",module,Magento_AdminNotification
critical,критично,module,Magento_AdminNotification
major,важно,module,Magento_AdminNotification
minor,обычно,module,Magento_AdminNotification
notice,уведомление,module,Magento_AdminNotification
"Wrong message type","Неправильный тип сообщения",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Один или несколько типов кэша признаны недействительными: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите на <a href=""%1""> управления кэшем </a> и обновления типов кэша.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ была завершена.",module,Magento_AdminNotification
"Close popup","Закрыть всплывающее окно",module,Magento_AdminNotification
Close,Закрыть,module,Magento_AdminNotification
"Critical System Messages","Критичные системные сообщения",module,Magento_AdminNotification
"Major System Messages","Основные системные сообщения",module,Magento_AdminNotification
"System messages","Системные сообщения",module,Magento_AdminNotification
"You created the order.","Вы создали заказ.",module,Magento_Authorizenet
"Order saving error: %1","Порядок сохранения ошибки: %1",module,Magento_Authorizenet
"Please choose a payment method.","Пожалуйста, выберите способ оплаты.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Кредитная карта: xxxx-%1",module,Magento_Authorizenet
"amount %1","сумма %1",module,Magento_Authorizenet
authorize,Авторизация,module,Magento_Authorizenet
"authorize and capture","Авторизация и запись",module,Magento_Authorizenet
capture,запись,module,Magento_Authorizenet
refund,возврат,module,Magento_Authorizenet
void,"значение void",module,Magento_Authorizenet
"Gateway error: %1","Ошибка шлюза: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Что-то пошло не так в платежном шлюзе.",module,Magento_Authorizenet
"Invalid amount for capture.","Недопустимый размер записи.",module,Magento_Authorizenet
"Payment capturing error.","Ошибка записи оплаты.",module,Magento_Authorizenet
"Invalid transaction ID.","Недопустимый ID транзакции.",module,Magento_Authorizenet
"Payment voiding error.","Ошибка значения void оплаты.",module,Magento_Authorizenet
"Invalid amount for refund.","Недопустимый размер для возврата.",module,Magento_Authorizenet
"Payment refunding error.","Ошибка возврата оплаты.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Транзакция была отклонена, поскольку не удалось проверить хэш.",module,Magento_Authorizenet
"There was a payment authorization error.","Была ошибка авторизации платежа.",module,Magento_Authorizenet
